dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
adult,ABC,signal_msp,A2_rl_linear,0.008456821722587419,0.0029875182031351994,0.016798924280582696,True,False,0.007463436752872166,0.009472719804890617,True,False,10,10000
adult,ABC,signal_msp,oracle,-0.021603683335141906,-0.024568575208625668,-0.018870459836536412,True,True,-0.022327422041083143,-0.020894611142163823,True,True,10,10000
adult,ABC,signal_msp,random,0.09685609197498263,0.08666456164478167,0.1073921671836608,True,False,0.09392621138680748,0.09973574116465704,True,False,10,10000
adult,ABC,signal_msp,signal_calib_residual,0.02298110334935105,0.01541095789529378,0.03144451307246365,True,False,0.021751028697928963,0.0243600562550641,True,False,10,10000
adult,ABC,signal_msp,signal_energy,-4.598044028983339e-10,-5.66158657457419e-08,3.782511004074909e-08,False,False,-1.4970554684965927e-08,1.3246366421587221e-08,False,False,10,10000
adult,ABC,signal_msp,signal_ensemble_mean_pairwise_kl,0.018628766286131002,0.014577883473448008,0.02245241250725836,True,False,0.017760467281100277,0.019507980101126428,True,False,10,10000
adult,ABC,signal_msp,signal_ensemble_topclass_variance,0.006136736833452581,0.0038893943954458597,0.00842553070337364,True,False,0.0056701461576167825,0.006622410511403873,True,False,10,10000
adult,ABC,signal_msp,signal_ensemble_vote_entropy,0.08140505934010998,0.0718905396720349,0.09097030369262983,True,False,0.07868826096397587,0.08409578810401935,True,False,10,10000
adult,ABC,signal_msp,signal_entropy,9.828041775180458e-10,-3.776231631306623e-08,3.7877549704471573e-08,False,False,-1.1607745092640649e-08,1.3202705559994461e-08,False,False,10,10000
adult,ABC,signal_msp,signal_knn_distance,0.1364104491526219,0.12296820092063007,0.14913237558768092,True,False,0.1327790079195241,0.14017797084262132,True,False,10,10000
adult,ABC,signal_msp,signal_local_label_agreement,0.011485108931449009,0.007595600290604911,0.015938494862199185,True,False,0.010339157992628882,0.012647812821935708,True,False,10,10000
adult,ABC,signal_msp,signal_mahalanobis,0.1319319814737314,0.1186846062018224,0.14496255610000272,True,False,0.12812216657818032,0.13555143568262534,True,False,10,10000
adult,ABC,signal_msp,signal_margin_logit,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
adult,ABC,signal_msp,signal_margin_prob,1.3626306037083786e-09,0.0,2.72331272970806e-08,False,False,0.0,1.0944599510114005e-08,False,False,10,10000
adult,ABC,signal_msp,signal_temp_msp,0.0,0.0,0.0,False,False,0.0,0.0,False,False,10,10000
adult,ABC,signal_msp,signal_trust_score,0.029829113553281734,0.024583330886487828,0.03560030739736268,True,False,0.028503595084538595,0.031188400363320015,True,False,10,10000
bank_marketing,ABC,signal_msp,A0_rank,0.00042808629973177965,-0.0002267843586352137,0.0010605821444325681,False,False,0.0002655550585989375,0.0005850101959492548,True,False,10,10000
bank_marketing,ABC,signal_msp,A1_lightgbm,0.0017859342114722996,0.0005592787924939648,0.0030324424208304735,True,False,0.001503796907161368,0.0020834702036744953,True,False,10,10000
bank_marketing,ABC,signal_msp,A1_logreg,0.00015483826645797406,-0.0002923130337993728,0.0020954348449377953,False,False,-3.146823297805875e-05,0.00043871331509517974,False,False,10,10000
bank_marketing,ABC,signal_msp,A1_logreg_naive_meta,0.0003010526368181479,-0.00018043050973339095,0.002077187517255709,False,False,9.776557349906057e-05,0.0006079430098532484,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_adaptive_loss3,0.0008477586773513585,-6.582752710822402e-05,0.002957173174279378,False,False,0.0004968721487035525,0.0012769062423718528,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_mlp_bce,0.0003993934203297573,-0.0005262886789602676,0.0031554598053862857,False,False,0.00010142858080386207,0.0007400682879850078,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_mlp_loss1,0.0015862682495093295,-0.00014322181163744865,0.003094606579719566,False,False,0.0013786483271097751,0.0017790861446421416,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_mlp_loss2,0.0005492577358123122,-0.0006081256495286955,0.0022885155309457124,False,False,0.0003576018657116745,0.0007584186583849391,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_mlp_loss3,0.0003607590446970447,-0.0005943035633637592,0.0025307875385201287,False,False,0.00010983673328896962,0.0006654206484505131,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_rl_bandit,0.0010323166233609515,-0.0004045437280870505,0.003998050369328793,False,False,0.0006812033465921997,0.0014497910171106141,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_rl_c0.5,0.16517308358755173,0.13446444574863836,0.19296736327895864,True,False,0.1605298946447837,0.16972478657221954,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_rl_c1.0,0.13030600143780655,0.0827004312256491,0.17654772997856355,True,False,0.12620659751420474,0.13477910676788102,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_rl_c10.0,0.001055520239990342,-0.00039571833964594514,0.004110678365553354,False,False,0.000703450427728621,0.0015009164073517933,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_rl_c3.0,0.005893577258605989,0.000949924790183357,0.010682113868901895,True,False,0.004999414953646273,0.0067807743275654555,True,False,10,10000
bank_marketing,ABC,signal_msp,A2_rl_linear,0.0038130986974008996,0.0009666581873094652,0.008236685278156172,True,False,0.003075136244089652,0.004579206584368811,True,False,10,10000
bank_marketing,ABC,signal_msp,oracle,-0.009149998434282472,-0.010915295532568803,-0.007712899531972686,True,True,-0.009539210513187157,-0.0087656261382339,True,True,10,10000
bank_marketing,ABC,signal_msp,random,0.07794203747057539,0.0662664388209559,0.08964136441710033,True,False,0.07489030504089653,0.08087302342538226,True,False,10,10000
bank_marketing,ABC,signal_msp,signal_calib_residual,0.007255171393528323,0.003262759231415718,0.012132649000295682,True,False,0.0066862077870081344,0.007880536483986308,True,False,10,10000
bank_marketing,ABC,signal_msp,signal_energy,1.2003310122814595e-09,0.0,2.2587746584820993e-08,False,False,-4.37242960292343e-09,1.0967235026995007e-08,False,False,10,10000
bank_marketing,ABC,signal_msp,signal_ensemble_mean_pairwise_kl,0.0037263401607461424,0.0023106332479183307,0.005178583247102902,True,False,0.0033795907111139082,0.004095899990235427,True,False,10,10000
bank_marketing,ABC,signal_msp,signal_ensemble_topclass_variance,0.001147755290769852,0.0002134804190887833,0.0020094412022333362,True,False,0.0009430108710110892,0.0013741555129918163,True,False,10,10000
bank_marketing,ABC,signal_msp,signal_ensemble_vote_entropy,0.05673372544334641,0.04670597218420943,0.06693935627128807,True,False,0.05430116772087633,0.05910637754878112,True,False,10,10000
bank_marketing,ABC,signal_msp,signal_entropy,3.271359277845845e-09,0.0,4.3633663824454993e-08,False,False,0.0,1.532545941334944e-08,False,False,10,10000
bank_marketing,ABC,signal_msp,signal_knn_distance,0.0303759834317759,0.02603795778807864,0.03524410390935385,True,False,0.029183688259939982,0.03159275764594982,True,False,10,10000
bank_marketing,ABC,signal_msp,signal_local_label_agreement,0.01504263409133669,0.009842645226790937,0.020323772051827064,True,False,0.013799546162255857,0.016315203566313538,True,False,10,10000
bank_marketing,ABC,signal_msp,signal_mahalanobis,0.0359576733159125,0.030723802853774334,0.04150826871073818,True,False,0.034403777570280805,0.03763267699013185,True,False,10,10000
