dataset,baseline,method,mean_aurc_delta,p_value,p_value_holm,significant_at_0.05
eeg_eye_state,signal_msp,A2_rl_c0.5,0.15527312576298524,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,A2_rl_c1.0,0.1446946527411332,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,A2_rl_c10.0,-0.00405981846695015,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,A2_rl_c3.0,-0.00451365797869548,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,A2_rl_linear,0.001245255654964389,0.322265625,0.322265625,False
eeg_eye_state,signal_msp,oracle,-0.005974290319203981,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,random,0.05554934330005622,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,signal_calib_residual,0.016250881345380906,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,signal_ensemble_mean_pairwise_kl,0.005443662120548283,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,signal_ensemble_topclass_variance,0.002323425448604469,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,signal_ensemble_vote_entropy,0.034940017885390355,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,signal_knn_distance,0.04109070914598804,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,signal_local_label_agreement,-0.002050866464954565,0.005859375,0.048828125,True
eeg_eye_state,signal_msp,signal_mahalanobis,0.07112103147038257,0.001953125,0.048828125,True
eeg_eye_state,signal_msp,signal_trust_score,-0.004574453875272423,0.001953125,0.048828125,True
electricity,signal_msp,A0_rank,-0.009986635819145223,0.001953125,0.048828125,True
electricity,signal_msp,A1_lightgbm,0.12855582377216052,0.001953125,0.048828125,True
electricity,signal_msp,A1_logreg,0.0029587398374454925,0.001953125,0.048828125,True
electricity,signal_msp,A1_logreg_naive_meta,0.04999115759600061,0.001953125,0.048828125,True
electricity,signal_msp,A2_adaptive_loss3,0.002426956897182414,0.130859375,0.26171875,False
electricity,signal_msp,A2_mlp_bce,0.007296796297950531,0.048828125,0.1953125,False
electricity,signal_msp,A2_mlp_loss1,0.011193655112770979,0.16015625,0.26171875,False
electricity,signal_msp,A2_mlp_loss2,-0.007435016699304959,0.001953125,0.048828125,True
electricity,signal_msp,A2_mlp_loss3,0.016807650390447675,0.00390625,0.048828125,True
electricity,signal_msp,A2_rl_bandit,0.08297928221559467,0.001953125,0.048828125,True
electricity,signal_msp,A2_rl_c0.5,0.09818465026162708,0.001953125,0.048828125,True
electricity,signal_msp,A2_rl_c1.0,0.0847794004800471,0.001953125,0.048828125,True
electricity,signal_msp,A2_rl_c10.0,0.08297928221559467,0.001953125,0.048828125,True
electricity,signal_msp,A2_rl_c3.0,0.17286547617529974,0.001953125,0.048828125,True
electricity,signal_msp,A2_rl_linear,0.24727941667114858,0.001953125,0.048828125,True
electricity,signal_msp,oracle,-0.11136891962693907,0.001953125,0.048828125,True
electricity,signal_msp,random,0.1777514791614505,0.001953125,0.048828125,True
electricity,signal_msp,signal_calib_residual,0.09984423433877161,0.001953125,0.048828125,True
electricity,signal_msp,signal_ensemble_mean_pairwise_kl,-0.008337964662558036,0.048828125,0.1953125,False
electricity,signal_msp,signal_ensemble_topclass_variance,-0.013414668661899446,0.00390625,0.048828125,True
electricity,signal_msp,signal_ensemble_vote_entropy,0.167593712498242,0.001953125,0.048828125,True
electricity,signal_msp,signal_knn_distance,0.2175946394099746,0.001953125,0.048828125,True
electricity,signal_msp,signal_local_label_agreement,0.0427489685643353,0.001953125,0.048828125,True
electricity,signal_msp,signal_mahalanobis,0.24320064755987225,0.001953125,0.048828125,True
electricity,signal_msp,signal_trust_score,0.06625831766729609,0.001953125,0.048828125,True
german_credit,signal_msp,A0_rank,-0.00968626274090543,0.001953125,0.048828125,True
german_credit,signal_msp,A1_lightgbm,0.011719828560124894,0.232421875,1.0,False
german_credit,signal_msp,A1_logreg,0.001049100070069866,0.6953125,1.0,False
german_credit,signal_msp,A1_logreg_naive_meta,0.007143137118690199,0.275390625,1.0,False
german_credit,signal_msp,A2_adaptive_loss3,0.010407190453912878,0.02734375,0.41015625,False
german_credit,signal_msp,A2_mlp_bce,0.025052755253569998,0.01953125,0.33203125,False
german_credit,signal_msp,A2_mlp_loss1,0.03358301612772828,0.193359375,1.0,False
german_credit,signal_msp,A2_mlp_loss2,-0.0024829837330132094,0.76953125,1.0,False
german_credit,signal_msp,A2_mlp_loss3,0.022424846409635334,0.037109375,0.51953125,False
german_credit,signal_msp,A2_rl_bandit,0.002564973876357684,0.4921875,1.0,False
german_credit,signal_msp,A2_rl_c0.5,0.07240074867497592,0.001953125,0.048828125,True
german_credit,signal_msp,A2_rl_c1.0,0.05368538314772871,0.01953125,0.33203125,False
german_credit,signal_msp,A2_rl_c10.0,0.002564973876357684,0.4921875,1.0,False
german_credit,signal_msp,A2_rl_c3.0,-0.0014668012042798003,0.4921875,1.0,False
german_credit,signal_msp,A2_rl_linear,0.005931277764308353,0.921875,1.0,False
german_credit,signal_msp,oracle,-0.10099098253062247,0.001953125,0.048828125,True
german_credit,signal_msp,random,0.12492112587989757,0.001953125,0.048828125,True
german_credit,signal_msp,signal_calib_residual,0.0384959407558541,0.001953125,0.048828125,True
german_credit,signal_msp,signal_ensemble_mean_pairwise_kl,0.006029159864473273,0.322265625,1.0,False
german_credit,signal_msp,signal_ensemble_topclass_variance,0.003297003984109805,0.431640625,1.0,False
german_credit,signal_msp,signal_ensemble_vote_entropy,0.06492673327075113,0.001953125,0.048828125,True
german_credit,signal_msp,signal_knn_distance,0.0688725756147387,0.001953125,0.048828125,True
german_credit,signal_msp,signal_local_label_agreement,0.01087118234755621,0.083984375,1.0,False
german_credit,signal_msp,signal_mahalanobis,0.06079729807173068,0.001953125,0.048828125,True
german_credit,signal_msp,signal_trust_score,0.016302892309389465,0.16015625,1.0,False
kr_vs_kp,signal_msp,A0_rank,2.0746048478899695e-05,0.4921875,0.984375,False
kr_vs_kp,signal_msp,A1_lightgbm,0.0026489747666730715,0.037109375,0.296875,False
kr_vs_kp,signal_msp,A1_logreg,0.003114770699892584,0.0546875,0.328125,False
kr_vs_kp,signal_msp,A1_logreg_naive_meta,0.0011662449986050126,0.013671875,0.13671875,False
kr_vs_kp,signal_msp,A2_adaptive_loss3,0.0014527551328419907,0.30078125,0.90234375,False
kr_vs_kp,signal_msp,A2_mlp_bce,0.009176179451625844,0.001953125,0.048828125,True
kr_vs_kp,signal_msp,A2_mlp_loss1,0.011710297793576392,0.0078125,0.1015625,False
kr_vs_kp,signal_msp,A2_mlp_loss2,0.007458650629648745,0.0078125,0.1015625,False
kr_vs_kp,signal_msp,A2_mlp_loss3,0.009074828689140219,0.02734375,0.24609375,False
kr_vs_kp,signal_msp,A2_rl_bandit,0.011001399820412174,0.005859375,0.087890625,False
kr_vs_kp,signal_msp,A2_rl_c0.5,0.01517502460988011,0.001953125,0.048828125,True
kr_vs_kp,signal_msp,A2_rl_c1.0,0.013400609203493377,0.001953125,0.048828125,True
kr_vs_kp,signal_msp,A2_rl_c10.0,0.011001399820412174,0.005859375,0.087890625,False
kr_vs_kp,signal_msp,A2_rl_c3.0,0.00937705077463601,0.001953125,0.048828125,True
kr_vs_kp,signal_msp,A2_rl_linear,0.0005953838532252375,0.921875,0.984375,False
kr_vs_kp,signal_msp,oracle,-0.00027357033261315956,0.00390625,0.06640625,False
kr_vs_kp,signal_msp,random,0.00627973549409159,0.001953125,0.048828125,True
kr_vs_kp,signal_msp,signal_calib_residual,0.00011619345979932434,0.046875,0.328125,False
kr_vs_kp,signal_msp,signal_ensemble_mean_pairwise_kl,9.680934628572506e-05,0.16015625,0.80078125,False
kr_vs_kp,signal_msp,signal_ensemble_topclass_variance,6.196718665561353e-05,0.193359375,0.80078125,False
kr_vs_kp,signal_msp,signal_ensemble_vote_entropy,0.005863300471613215,0.001953125,0.048828125,True
kr_vs_kp,signal_msp,signal_knn_distance,0.0034323567950372775,0.001953125,0.048828125,True
kr_vs_kp,signal_msp,signal_local_label_agreement,0.0014769653657741321,0.00390625,0.06640625,False
kr_vs_kp,signal_msp,signal_mahalanobis,0.0030493226639615664,0.009765625,0.107421875,False
kr_vs_kp,signal_msp,signal_trust_score,0.00382297658393803,0.001953125,0.048828125,True
letter,signal_msp,A0_rank,0.00020163693395569234,0.001953125,0.060546875,False
letter,signal_msp,A1_lightgbm,0.00048594733367886815,0.001953125,0.060546875,False
letter,signal_msp,A1_logreg,-5.647301909438625e-06,0.375,1.0,False
letter,signal_msp,A1_logreg_naive_meta,4.694141970900633e-05,0.16015625,1.0,False
letter,signal_msp,A2_adaptive_loss3,0.0002494082589472058,0.005859375,0.0703125,False
letter,signal_msp,A2_mlp_bce,0.0001359122134165955,0.322265625,1.0,False
letter,signal_msp,A2_mlp_loss1,0.00120933058509095,0.001953125,0.060546875,False
letter,signal_msp,A2_mlp_loss2,0.00017582335739934916,0.064453125,0.515625,False
letter,signal_msp,A2_mlp_loss3,0.0002464614514162681,0.275390625,1.0,False
letter,signal_msp,A2_rl_bandit,0.0007422020360733689,0.013671875,0.150390625,False
letter,signal_msp,A2_rl_c0.5,0.041504481161590716,0.001953125,0.060546875,False
letter,signal_msp,A2_rl_c1.0,0.024485032328965664,0.001953125,0.060546875,False
letter,signal_msp,A2_rl_c10.0,0.0007422020360733689,0.013671875,0.150390625,False
letter,signal_msp,A2_rl_c3.0,0.005553444369157011,0.001953125,0.060546875,False
letter,signal_msp,A2_rl_linear,0.0015093548352030609,0.001953125,0.060546875,False
letter,signal_msp,oracle,-0.0009091316437043996,0.001953125,0.060546875,False
letter,signal_msp,random,0.02618837190234701,0.001953125,0.060546875,False
