dataset,baseline,method,mean_aurc_delta,p_value,p_value_holm,significant_at_0.05
wine_quality_white,signal_msp,signal_ensemble_topclass_variance,-0.009297839560414339,0.001953125,0.060546875,False
wine_quality_white,signal_msp,signal_ensemble_vote_entropy,0.10991541948101877,0.001953125,0.060546875,False
wine_quality_white,signal_msp,signal_entropy,-2.3981528557795452e-05,0.845703125,0.845703125,False
wine_quality_white,signal_msp,signal_knn_distance,0.03878928722850672,0.001953125,0.060546875,False
wine_quality_white,signal_msp,signal_local_label_agreement,0.08810557549203597,0.001953125,0.060546875,False
wine_quality_white,signal_msp,signal_logitnorm_msp,0.005655123856343,0.064453125,0.2578125,False
wine_quality_white,signal_msp,signal_mahalanobis,0.12081325077281924,0.001953125,0.060546875,False
wine_quality_white,signal_msp,signal_margin_logit,0.0013070011371846325,0.02734375,0.1640625,False
wine_quality_white,signal_msp,signal_margin_prob,0.00047742060427726494,0.10546875,0.2578125,False
wine_quality_white,signal_msp,signal_temp_msp,-0.0030951933216513045,0.083984375,0.2578125,False
wine_quality_white,signal_msp,signal_trust_score,-0.04516502656540422,0.001953125,0.060546875,False
