dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
electricity,AC,signal_msp,A1_lightgbm,0.10401794067786878,0.042813132501596435,0.14012069582066478,True,False,0.10058060315633652,0.10744247872531333,True,False,10,15000
electricity,AC,signal_msp,A1_logreg,0.005059284296372023,0.002123864452694806,0.008337286941462735,True,False,0.004646319279793572,0.005474537922871592,True,False,10,15000
electricity,AC,signal_msp,A1_logreg_naive_meta,0.03134934407871995,0.008362639206154905,0.062147271410631956,True,False,0.029538097533954647,0.03319495300401664,True,False,10,15000
electricity,AC,signal_msp,A2_adaptive_loss3,0.0007193128055153882,-0.001210170834259016,0.0036185257704927417,False,False,0.0005343223213381787,0.000905609127491389,True,False,10,15000
electricity,AC,signal_msp,A2_mlp_bce,0.017245221812120463,0.003955904719646621,0.038814393244913606,True,False,0.016369201664059356,0.018078054928331685,True,False,10,15000
electricity,AC,signal_msp,A2_mlp_loss1,0.05130687047046161,0.02316642185290155,0.07718865754099438,True,False,0.048572195762478475,0.0541635526535013,True,False,10,15000
electricity,AC,signal_msp,A2_mlp_loss2,0.010532554450976927,-0.005497047173286256,0.0446431124915253,False,False,0.008889201194971094,0.01214167595423354,True,False,10,15000
electricity,AC,signal_msp,A2_mlp_loss3,0.03462144111070974,0.00734765608863516,0.06209452518050625,True,False,0.03315351232476329,0.03602314423826219,True,False,10,15000
electricity,AC,signal_msp,oracle,-0.11435552124670638,-0.13016712575249242,-0.10052578756574485,True,True,-0.11652760488675722,-0.11230343796360598,True,True,10,15000
electricity,AC,signal_msp,random,0.1758302169469088,0.15593285872949797,0.20354410929222874,True,False,0.17153399023525728,0.18006184834109823,True,False,10,15000
electricity,AC,signal_msp,signal_calib_residual,0.06643737881495675,0.036650438533612356,0.09842289851425275,True,False,0.0631246163563703,0.06975685641843671,True,False,10,15000
electricity,AC,signal_msp,signal_energy,-5.562373805306775e-09,-1.2672160749141457e-07,4.8801709124496326e-08,False,False,-4.342169066577639e-08,1.6022253994316115e-08,False,False,10,15000
electricity,AC,signal_msp,signal_entropy,-4.985237333848813e-09,-8.364055203990972e-08,2.1658137949742695e-08,False,False,-3.114665568078323e-08,5.325212492912369e-09,False,False,10,15000
electricity,AC,signal_msp,signal_knn_distance,0.22337488406046935,0.19546871871277366,0.26387475013832107,True,False,0.21895172366258248,0.2277443271154267,True,False,10,15000
electricity,AC,signal_msp,signal_local_label_agreement,0.01774388463102383,0.001326987113407559,0.03250840437453315,True,False,0.01487275746465318,0.020585903934628304,True,False,10,15000
electricity,AC,signal_msp,signal_mahalanobis,0.23743233371277792,0.21269493788711885,0.26606949572583694,True,False,0.23300395741741672,0.24193670447107135,True,False,10,15000
electricity,AC,signal_msp,signal_margin_logit,-6.672898709079537e-09,-1.3689431451469058e-07,0.0,False,False,-4.0888848481523964e-08,7.351990387871598e-09,False,False,10,15000
electricity,AC,signal_msp,signal_margin_prob,3.154974969754217e-08,-8.142827350648974e-07,1.0228483480402561e-06,False,False,-2.0277511186418684e-07,2.9450043150823493e-07,False,False,10,15000
