dataset,tiers,method,AURC_mean,AURC_std,n_seeds
adult,ABC,A0_rank,0.033055584687633796,0.0017778051065965809,10
adult,ABC,A1_lightgbm,0.03372976592154918,0.0017779787256254123,10
adult,ABC,A1_logreg,0.03042892538934176,0.0017132038179516222,10
adult,ABC,A1_logreg_naive_meta,0.030536263362542206,0.0016789081596248695,10
adult,ABC,A2_adaptive_loss3,0.03190294442562656,0.002592137004002357,10
adult,ABC,A2_mlp_bce,0.030894412314697296,0.0017394287788973673,10
adult,ABC,A2_mlp_loss1,0.034276150918586476,0.002164641722443172,10
adult,ABC,A2_mlp_loss2,0.03180257919461748,0.001600137104290003,10
adult,ABC,A2_mlp_loss3,0.031083310737138537,0.0018723990537302677,10
adult,ABC,oracle,0.008701733783520255,0.00047432325103390305,10
adult,ABC,random,0.12836806035871695,0.004783256538701268,10
adult,ABC,signal_calib_residual,0.053633443551561175,0.00477690813715719,10
adult,ABC,signal_energy,0.030163425986597842,0.0014677767674473694,10
adult,ABC,signal_ensemble_mean_pairwise_kl,0.04832754121368183,0.0019226274611937456,10
adult,ABC,signal_ensemble_topclass_variance,0.03611048933876663,0.0017416435239367473,10
adult,ABC,signal_ensemble_vote_entropy,0.11199516531468126,0.005457971888873041,10
adult,ABC,signal_entropy,0.030163425986597842,0.0014677767674473694,10
adult,ABC,signal_knn_distance,0.15985457280174395,0.0038839765048900884,10
adult,ABC,signal_local_label_agreement,0.04961339141644796,0.0033181306216827334,10
adult,ABC,signal_mahalanobis,0.16068702113905425,0.004097179352713866,10
adult,ABC,signal_margin_logit,0.030163425986597842,0.0014677767674473694,10
adult,ABC,signal_margin_prob,0.030163425986597842,0.0014677767674473694,10
adult,ABC,signal_msp,0.030163425986597842,0.0014677767674473694,10
adult,ABC,signal_temp_msp,0.030163425986597842,0.0014677767674473694,10
adult,ABC,signal_trust_score,0.07696629836582673,0.0041853427534325974,10
electricity,ABC,A0_rank,0.1831087780353376,0.004938052477063875,10
electricity,ABC,A1_lightgbm,0.30068941651760267,0.033778673780528824,10
electricity,ABC,A1_logreg,0.19907589707577772,0.00670667561154369,10
electricity,ABC,A1_logreg_naive_meta,0.2256536619995373,0.02229115577026667,10
electricity,ABC,A2_adaptive_loss3,0.19547248672574064,0.005298530783636846,10
electricity,ABC,A2_mlp_bce,0.21094104266832595,0.01921333878930499,10
electricity,ABC,A2_mlp_loss1,0.22398362052273324,0.016106666497527435,10
electricity,ABC,A2_mlp_loss2,0.196875096676647,0.014265081893370486,10
electricity,ABC,A2_mlp_loss3,0.23318908422029033,0.022199918791055876,10
electricity,ABC,oracle,0.0802442876620242,0.0036062642316645067,10
electricity,ABC,random,0.3704506574040346,0.00834090244670778,10
electricity,ABC,signal_calib_residual,0.2611046561176114,0.01730501577501538,10
electricity,ABC,signal_energy,0.194593552880341,0.0056459751912222595,10
electricity,ABC,signal_ensemble_mean_pairwise_kl,0.18106119108975777,0.007156723058448601,10
electricity,ABC,signal_ensemble_topclass_variance,0.17659364023136015,0.004897185573208327,10
electricity,ABC,signal_ensemble_vote_entropy,0.36044771722227076,0.006303962892727884,10
electricity,ABC,signal_entropy,0.194593552880341,0.0056459751912222595,10
electricity,ABC,signal_knn_distance,0.41794947974546676,0.014267702772248108,10
electricity,ABC,signal_local_label_agreement,0.22486364389368063,0.003275401005373219,10
electricity,ABC,signal_mahalanobis,0.43212001136938716,0.009999553076329094,10
electricity,ABC,signal_margin_logit,0.194593552880341,0.0056459751912222595,10
electricity,ABC,signal_margin_prob,0.194593552880341,0.0056459751912222595,10
electricity,ABC,signal_msp,0.194593552880341,0.0056459751912222595,10
electricity,ABC,signal_temp_msp,0.194593552880341,0.0056459751912222595,10
electricity,ABC,signal_trust_score,0.25791166465256826,0.004340825311116568,10
german_credit,ABC,A0_rank,0.12237294935824752,0.02843778015766276,10
german_credit,ABC,A1_lightgbm,0.16178179180107183,0.03997481656545769,10
german_credit,ABC,A1_logreg,0.13763863122036998,0.034381635874000414,10
german_credit,ABC,A1_logreg_naive_meta,0.14348640288069353,0.033633104275377274,10
german_credit,ABC,A2_adaptive_loss3,0.1514869316195502,0.03316356817352178,10
german_credit,ABC,A2_mlp_bce,0.17348145661148232,0.029266738697650056,10
german_credit,ABC,A2_mlp_loss1,0.1437332030092623,0.043771050802635804,10
german_credit,ABC,A2_mlp_loss2,0.13020432396619422,0.032373556502335074,10
german_credit,ABC,A2_mlp_loss3,0.17128290801189977,0.03202377711061708,10
german_credit,ABC,oracle,0.02993490100950049,0.00962171217500421,10
german_credit,ABC,random,0.246510736125873,0.04633682833125794,10
german_credit,ABC,signal_calib_residual,0.17291425373769415,0.040009177002891784,10
german_credit,ABC,signal_energy,0.13297841106387734,0.032703741184358946,10
german_credit,ABC,signal_ensemble_mean_pairwise_kl,0.13250014492775125,0.023184880982158443,10
german_credit,ABC,signal_ensemble_topclass_variance,0.13178674751053807,0.02489413726602282,10
german_credit,ABC,signal_ensemble_vote_entropy,0.19590795781672649,0.04368661016187893,10
german_credit,ABC,signal_entropy,0.13297841106387734,0.032703741184358946,10
german_credit,ABC,signal_knn_distance,0.1931872966059316,0.0415196251061226,10
german_credit,ABC,signal_local_label_agreement,0.1539242329688291,0.04416471384544727,10
german_credit,ABC,signal_mahalanobis,0.1810642253523748,0.04170340762644877,10
german_credit,ABC,signal_margin_logit,0.13297841106387734,0.032703741184358946,10
german_credit,ABC,signal_margin_prob,0.13297841106387734,0.032703741184358946,10
german_credit,ABC,signal_msp,0.13297841106387734,0.032703741184358946,10
german_credit,ABC,signal_temp_msp,0.13297841106387734,0.032703741184358946,10
german_credit,ABC,signal_trust_score,0.1609026385300105,0.03841138842614765,10
letter,ABC,A0_rank,0.001443354221395467,0.0002565082408692288,10
letter,ABC,A1_lightgbm,0.0016611732708613522,0.0009074764396514922,10
letter,ABC,A1_logreg,0.0012279045420598629,0.0002402241323035755,10
letter,ABC,A1_logreg_naive_meta,0.001271865657403064,0.0002308374400846054,10
letter,ABC,A2_adaptive_loss3,0.0014702474689127052,0.00024145693526805194,10
letter,ABC,A2_mlp_bce,0.001302284605713317,0.0002785888168799465,10
letter,ABC,A2_mlp_loss1,0.002395279465328159,0.0008445654796480635,10
letter,ABC,A2_mlp_loss2,0.0013688399498648456,0.00030392005844730364,10
letter,ABC,A2_mlp_loss3,0.0013513119776967352,0.00032573195998585644,10
letter,ABC,oracle,0.0003906612894982239,9.017034040870872e-05,10
letter,ABC,random,0.026648040092064666,0.0037400635115638226,10
letter,ABC,signal_calib_residual,0.0018526514629183016,0.0005148837628545276,10
letter,ABC,signal_energy,0.0019819949198767364,0.00034625680142496207,10
letter,ABC,signal_ensemble_mean_pairwise_kl,0.0016812796798961502,0.00036122966856851654,10
letter,ABC,signal_ensemble_topclass_variance,0.001635836928132787,0.0003804536670063917,10
letter,ABC,signal_ensemble_vote_entropy,0.018755213917599507,0.0028528909712891913,10
letter,ABC,signal_entropy,0.0013072829548610159,0.00024153543394349255,10
letter,ABC,signal_knn_distance,0.008637480136630198,0.0011293751001022429,10
letter,ABC,signal_local_label_agreement,0.0023400466301890964,0.00049179558207735,10
letter,ABC,signal_logitnorm_msp,0.0018947775244400702,0.0003255092416812925,10
letter,ABC,signal_mahalanobis,0.01476148179520837,0.0026831265275818143,10
letter,ABC,signal_margin_logit,0.001325066983613777,0.00023180490425290243,10
letter,ABC,signal_margin_prob,0.0013140235551900462,0.00023291627967638126,10
letter,ABC,signal_msp,0.0013075182937332523,0.0002357922623918406,10
letter,ABC,signal_temp_msp,0.001313962474609404,0.0002446451007610128,10
letter,ABC,signal_trust_score,0.002094046559700289,0.000424227268270657,10
satimage,ABC,A0_rank,0.010037555694593707,0.0017861174090817492,10
satimage,ABC,A1_lightgbm,0.014397372506837713,0.003922032823153396,10
satimage,ABC,A1_logreg,0.009381054694674243,0.0019181697951446179,10
satimage,ABC,A1_logreg_naive_meta,0.009577807838720706,0.0020394215898553204,10
satimage,ABC,A2_adaptive_loss3,0.010848604624468095,0.0019575447977845917,10
satimage,ABC,A2_mlp_bce,0.011101572846049861,0.0018404866160606256,10
satimage,ABC,A2_mlp_loss1,0.010306301955920569,0.002313590340068833,10
satimage,ABC,A2_mlp_loss2,0.009927536846514803,0.0019088313832447167,10
satimage,ABC,A2_mlp_loss3,0.011480694723830037,0.0016669586693611879,10
satimage,ABC,oracle,0.002558764157633276,0.0006746687102806011,10
satimage,ABC,random,0.0696978253912902,0.008246288375687447,10
satimage,ABC,signal_calib_residual,0.012318415972884402,0.0030099440138656687,10
satimage,ABC,signal_energy,0.011020174924096512,0.0021427143613214944,10
satimage,ABC,signal_ensemble_mean_pairwise_kl,0.010840694810684231,0.0017245384790550596,10
satimage,ABC,signal_ensemble_topclass_variance,0.01077892807676096,0.0017630743098608346,10
satimage,ABC,signal_ensemble_vote_entropy,0.06075126709681207,0.011222591330804943,10
satimage,ABC,signal_entropy,0.009964295068408765,0.0020910607822105165,10
satimage,ABC,signal_knn_distance,0.04903536396075393,0.007613061106269083,10
satimage,ABC,signal_local_label_agreement,0.017393083614895295,0.003951922194543558,10
satimage,ABC,signal_logitnorm_msp,0.01083520795667631,0.0020081497192585727,10
satimage,ABC,signal_mahalanobis,0.053465604242453814,0.007356390303240189,10
satimage,ABC,signal_margin_logit,0.010043391507894395,0.002158426315329842,10
satimage,ABC,signal_margin_prob,0.010013095532399399,0.002121845767392269,10
satimage,ABC,signal_msp,0.009976161851929592,0.0020922775118729013,10
satimage,ABC,signal_temp_msp,0.010001437911184597,0.0020638974761337486,10
satimage,ABC,signal_trust_score,0.011342534903456629,0.0027991395277668454,10
wine_quality_white,ABC,A0_rank,0.16219832842185056,0.012540749121953151,10
wine_quality_white,ABC,A1_lightgbm,0.15060713889780025,0.013635870072177975,10
wine_quality_white,ABC,A1_logreg,0.14107709952428385,0.01238590355451325,10
wine_quality_white,ABC,A1_logreg_naive_meta,0.14457684426748163,0.015629392401156583,10
wine_quality_white,ABC,A2_adaptive_loss3,0.15719893011456007,0.018413980634134526,10
wine_quality_white,ABC,A2_mlp_bce,0.1508512021396895,0.015333589056163801,10
wine_quality_white,ABC,A2_mlp_loss1,0.16481353126483245,0.015417515343489131,10
wine_quality_white,ABC,A2_mlp_loss2,0.15319095254304896,0.020850021110355242,10
wine_quality_white,ABC,A2_mlp_loss3,0.14944709041916626,0.014972436115459141,10
wine_quality_white,ABC,oracle,0.05904614289174405,0.006235617272569848,10
wine_quality_white,ABC,random,0.3212721593632518,0.029740987795644457,10
wine_quality_white,ABC,signal_calib_residual,0.2795764430866293,0.04506679288225291,10
wine_quality_white,ABC,signal_energy,0.20199312912269604,0.018681297336890727,10
wine_quality_white,ABC,signal_ensemble_mean_pairwise_kl,0.1682767220029086,0.012324104289591138,10
wine_quality_white,ABC,signal_ensemble_topclass_variance,0.17563598018568727,0.013282088871983245,10
wine_quality_white,ABC,signal_ensemble_vote_entropy,0.29219361100676383,0.02310196864201309,10
wine_quality_white,ABC,signal_entropy,0.18490442278454067,0.015041476069771189,10
wine_quality_white,ABC,signal_knn_distance,0.22483876774783096,0.01478511687717542,10
wine_quality_white,ABC,signal_local_label_agreement,0.27464644325188253,0.021279923362659877,10
wine_quality_white,ABC,signal_logitnorm_msp,0.19126182268352224,0.014710087309432303,10
wine_quality_white,ABC,signal_mahalanobis,0.3026889376733091,0.023979836899877958,10
wine_quality_white,ABC,signal_margin_logit,0.18595809305476646,0.015170043153168914,10
wine_quality_white,ABC,signal_margin_prob,0.1853857048023057,0.015125339557068438,10
wine_quality_white,ABC,signal_msp,0.18492167020101666,0.014998085449509105,10
wine_quality_white,ABC,signal_temp_msp,0.18194319262612552,0.014560087937071179,10
wine_quality_white,ABC,signal_trust_score,0.14135641945794258,0.011940011885079127,10
