dataset,coverage_threshold,method,gap_mean,gap_std,n_seeds
german_credit,max_min_gap@0.8,signal_temp_msp,0.194547599939137,0.026807386012101187,10
german_credit,max_min_gap@0.8,signal_trust_score,0.21827054291275907,0.08509422778674818,10
german_credit,max_min_gap@0.9,A0_rank,0.23053412178426047,0.05305235844657845,10
german_credit,max_min_gap@0.9,A1_lightgbm,0.20992241467245018,0.06101831695296504,10
german_credit,max_min_gap@0.9,A1_logreg,0.2061591331948768,0.06780121789431569,10
german_credit,max_min_gap@0.9,A1_logreg_naive_meta,0.20611876495597428,0.06605135004783519,10
german_credit,max_min_gap@0.9,A2_adaptive_loss3,0.2056589229988104,0.0635694322156811,10
german_credit,max_min_gap@0.9,A2_mlp_bce,0.20783285554810496,0.06931806677161284,10
german_credit,max_min_gap@0.9,A2_mlp_loss1,0.22480107802965993,0.07255258423112468,10
german_credit,max_min_gap@0.9,A2_mlp_loss2,0.22452966684361972,0.06690485181705288,10
german_credit,max_min_gap@0.9,A2_mlp_loss3,0.20881022443245062,0.07269306490530311,10
german_credit,max_min_gap@0.9,oracle,0.13709148808055666,0.06155233876342326,10
german_credit,max_min_gap@0.9,random,0.22177349104725366,0.07627303976097656,10
german_credit,max_min_gap@0.9,signal_calib_residual,0.21169790302873254,0.07948151456460469,10
german_credit,max_min_gap@0.9,signal_energy,0.19372411808836165,0.05432985984718581,10
german_credit,max_min_gap@0.9,signal_entropy,0.19372411808836165,0.05432985984718581,10
german_credit,max_min_gap@0.9,signal_knn_distance,0.21321183983974681,0.062209399371920625,10
german_credit,max_min_gap@0.9,signal_local_label_agreement,0.20059098524214805,0.06617877204761538,10
german_credit,max_min_gap@0.9,signal_mahalanobis,0.22287668034974936,0.06654829561257442,10
german_credit,max_min_gap@0.9,signal_margin_logit,0.19372411808836165,0.05432985984718581,10
german_credit,max_min_gap@0.9,signal_margin_prob,0.19372411808836165,0.05432985984718581,10
german_credit,max_min_gap@0.9,signal_msp,0.19372411808836165,0.05432985984718581,10
german_credit,max_min_gap@0.9,signal_temp_msp,0.19372411808836165,0.05432985984718581,10
german_credit,max_min_gap@0.9,signal_trust_score,0.208719678254562,0.074426618393122,10
