dataset,coverage_threshold,baseline,method,mean_gap_delta,p_value,p_value_holm,significant_at_0.05,narrows_disparity
adult,max_min_gap@0.9,signal_msp,signal_trust_score,0.010183206980734,0.001953125,0.048828125,True,False
german_credit,max_min_gap@0.8,signal_msp,A0_rank,0.01577039158473461,0.57421875,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A1_lightgbm,0.012687140450913367,0.1015625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A1_logreg,0.014271835601817068,0.390625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A1_logreg_naive_meta,0.04179216934189498,0.037109375,0.779296875,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_adaptive_loss3,0.020230948647860358,0.375,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_mlp_bce,0.029937830582028712,0.10546875,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_mlp_loss1,0.038268166681959294,0.1640625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_mlp_loss2,0.021345166580095103,0.42578125,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_mlp_loss3,0.02885728665310635,0.10546875,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_rl_bandit,0.010845047444808529,0.1640625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_rl_c0.5,0.03308587053954584,0.083984375,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_rl_c1.0,0.02453735210471666,0.16015625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_rl_c10.0,0.010845047444808529,0.1640625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_rl_c3.0,0.032579593909206284,0.376953125,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,A2_rl_linear,0.036043906246031515,0.15625,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,oracle,-0.12464399334545065,0.00390625,0.09375,False,True
german_credit,max_min_gap@0.8,signal_msp,random,0.05619759015870146,0.001953125,0.048828125,True,False
german_credit,max_min_gap@0.8,signal_msp,signal_calib_residual,0.04069612350796271,0.083984375,1.0,False,False
german_credit,max_min_gap@0.8,signal_msp,signal_ensemble_mean_pairwise_kl,0.014821468948642363,0.12890625,1.0,False,False
